2018 Rank,City Name,State Name,2018 Estimate,2010 Census,Change (%),2016 Land Area (sq mi),2016 Land Area (sq km),2016 Population Density (per sq mi),2016 Population Density (per sq km),Location,Mayor,Time Zone (Summer),Area Codes
196,Denton,Texas,138541,113383,+22.19,93.4  ,241.9 ,1433 ,553, ﻿33.2166°N 97.1414°W﻿ ,nan,utc-5 (cst),940 817[5]
197,Waco,Texas,138183,124805,+10.72,89.0  ,230.5 ,1510 ,580, ﻿31.5601°N 97.1860°W﻿ ,nan,utc−5 (central),254
198,Surprise,Arizona,138161,117517,+17.57,107.9  ,279.5 ,1230 ,470, ﻿33.6706°N 112.4527°W﻿ ,skip hall,nan,623
199,Carrollton,Texas,136879,119097,+14.93,36.3  ,94.0 ,3674 ,1419, ﻿32.9884°N 96.8998°W﻿ ,kevin falconer,utc-5 (central),972
200,West Valley City,Utah,136401,129480,+5.35,35.5  ,91.9 ,3847 ,1485, ﻿40.6885°N 112.0118°W﻿ ,nan,nan,nan
201,Charleston,South Carolina,136208,120083,+13.43,109.0  ,282.3 ,1233 ,476, ﻿32.8179°N 79.9590°W﻿ ,john tecklenburg ,utc-4 (edt),843 and 854
202,Warren,Michigan,134587,134056,+0.40,34.4  ,89.1 ,3928 ,1517, ﻿42.4929°N 83.0250°W﻿ ,james r. fouts ,utc-4 (edt),586
203,Hampton,Virginia,134313,137436,−2.27,51.5  ,133.4 ,2629 ,1015, ﻿37.0480°N 76.2971°W﻿ ,donnie tuck ,utc-4 (edt),nan
204,Gainesville,Florida,133857,124354,+7.64,62.3  ,161.4 ,2112 ,815, ﻿29.6788°N 82.3461°W﻿ ,lauren poe ,utc−4 (edt),352
205,Visalia,California,133800,124442,+7.52,37.5  ,97.1 ,3495 ,1349, ﻿36.3273°N 119.3289°W﻿ ,nan,utc-7 (pdt),559
206,Coral Springs,Florida,133507,121096,+10.25,23.8  ,61.6 ,5465 ,2110, ﻿26.2707°N 80.2593°W﻿ ,nan,utc-4 (edt),754 and 954
